Location,Idfromrun,RealID,Primer,Type
A1,1,L.HH1.L,Leray,sample
B1,2,L.TQ3.L,Leray,sample
C1,3,L.PQ2.N,Leray,sample
D1,4,L.Control.1,Leray,control
E1,5,L.S.01,Leray,sample
F1,6,L.S.09,Leray,sample
G1,7,Z.HH1.L,Zhan,sample
H1,8,Z.TQ3.L,Zhan,sample
A2,9,Z.PQ2.N,Zhan,sample
B2,10,Z.Control.1,Zhan,control
C2,11,Z.S.01,Zhan,sample
D2,12,Z.S.09,Zhan,sample
E2,13,L.HH2.L,Leray,sample
F2,14,L.TQ1.N,Leray,sample
G2,15,L.PQ3.N,Leray,sample
H2,16,L.Control.2,Leray,control
A3,17,L.S.02,Leray,sample
B3,18,L.S.10,Leray,control
C3,19,Z.HH2.L,Zhan,sample
D3,20,Z.TQ1.N,Zhan,sample
E3,21,Z.PQ3.N,Zhan,sample
F3,22,Z.Control.2,Zhan,control
G3,23,Z.S.02,Zhan,sample
H3,24,Z.S.10,Zhan,control
A4,25,L.HH3.L,Leray,sample
B4,26,L.TQ2.N,Leray,sample
C4,27,L.TB1.L,Leray,sample
D4,28,L.Control.3,Leray,control
E4,29,L.S.03,Leray,sample
F4,30,L.PCR1.NTC,Leray,control
G4,31,Z.HH3.L,Zhan,sample
H4,32,Z.TQ2.N,Zhan,sample
A5,33,Z.TB1.L,Zhan,sample
B5,34,Z.Control.3,Zhan,control
C5,35,Z.S.03,Zhan,sample
D5,36,Z.PCR1.C,Zhan,control
E5,37,L.HH1.N,Leray,sample
F5,38,L.TQ3.N,Leray,sample
G5,39,L.TB2.L,Leray,sample
H5,40,L.Control.4,Leray,other
A6,41,L.S.04,Leray,sample
B6,42,L.AQ.1,Leray,other
C6,43,Z.HH1.N,Zhan,sample
D6,44,Z.TQ3.N,Zhan,sample
E6,45,Z.TB2.L,Zhan,sample
F6,46,Z.Control.4,Zhan,other
G6,47,Z.S.04,Zhan,sample
H6,48,Z.AQ.1,Zhan,other
A7,49,L.HH2.N,Leray,sample
B7,50,L.PQ1.L,Leray,sample
C7,51,L.TB3.L,Leray,sample
D7,52,L.Control.5,Leray,control
E7,53,L.S.05,Leray,sample
F7,54,L.AQ.2,Leray,other
G7,55,Z.HH2.N,Zhan,sample
H7,56,Z.PQ1.L,Zhan,sample
A8,57,Z.TB3.L,Zhan,sample
B8,58,Z.Control.5,Zhan,control
C8,59,Z.S.05,Zhan,sample
D8,60,Z.AQ.2,Zhan,other
E8,61,L.HH3.N,Leray,sample
F8,62,L.PQ2.L,Leray,sample
G8,63,L.TB1.N,Leray,sample
H8,64,L.Control.6,Leray,control
A9,65,L.S.06,Leray,sample
B9,66,L.PCR2.NTC,Leray,control
C9,67,Z.HH3.N,Zhan,sample
D9,68,Z.PQ2.L,Zhan,sample
E9,69,Z.TB1.N,Zhan,sample
F9,70,Z.Control.6,Zhan,control
G9,71,Z.S.06,Zhan,sample
H9,72,Z.PCR2.NTC,Zhan,control
A10,73,L.TQ1.L,Leray,sample
B10,74,L.PQ3.L,Leray,sample
C10,75,L.TB2.N,Leray,sample
D10,76,L.BALL.1,Leray,other
E10,77,L.S.07,Leray,sample
F10,78,L.EMPTY.1,Leray,other
G10,79,Z.TQ1.L,Zhan,sample
H10,80,Z.PQ3.L,Zhan,sample
A11,81,Z.TB2.N,Zhan,sample
B11,82,Z.BALL.1,Zhan,other
C11,83,Z.S.07,Zhan,sample
D11,84,Z.EMPTY.1,Zhan,other
E11,85,L.TQ2.L,Leray,sample
F11,86,L.PQ1.N,Leray,sample
G11,87,L.TB3.N,Leray,sample
H11,88,L.BALL.2,Leray,other
A12,89,L.S.08,Leray,sample
B12,90,L.EMPTY.2,Leray,other
C12,91,Z.TQ2.L,Zhan,sample
D12,92,Z.PQ1.N,Zhan,sample
E12,93,Z.TB3.N,Zhan,sample
F12,94,Z.BALL.2,Zhan,other
G12,95,Z.S.08,Zhan,sample
H12,96,Z.EMPTY.2,Zhan,other